pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
1,16,22,1,9,1
1,16,33,1,1,1
1,16,36,1,15,1
1,16,38,1,27,1
1,16,45,1,3,1
1,16,73,1,7,1
1,16,74,1,25,1
1,16,75,1,19,1
1,16,77,1,13,1
1,16,79,1,13,2
1,16,230,1,21,1
1,16,235,1,33,1
1,16,388,1,31,1
1,16,402,1,37,1
2,16,22,1,9,1
2,16,33,1,1,1
2,16,36,1,15,1
2,16,38,1,31,1
2,16,45,1,1,2
2,16,45,1,3,1
2,16,73,1,1,3
2,16,73,1,7,1
2,16,74,1,28,1
2,16,75,1,20,1
2,16,76,1,44,1
2,16,77,1,13,1
2,16,79,1,13,2
2,16,230,1,23,1
2,16,235,1,39,1
2,16,388,1,36,1
3,16,22,1,1,4
3,16,22,1,9,1
3,16,33,1,1,1
3,16,36,1,15,1
3,16,38,1,31,1
3,16,45,1,1,2
3,16,45,1,3,1
3,16,73,1,1,3
3,16,73,1,7,1
3,16,74,1,28,1
3,16,75,1,20,1
3,16,76,1,53,1
3,16,77,1,13,1
3,16,79,1,13,2
3,16,80,1,32,1
3,16,230,1,23,1
3,16,235,1,45,1
3,16,388,1,39,1
3,16,572,1,50,1
4,16,10,1,1,1
4,16,45,1,1,2
4,16,52,1,7,1
4,16,53,1,37,1
4,16,82,1,16,1
4,16,83,1,43,1
4,16,108,1,10,1
4,16,163,1,34,1
4,16,184,1,19,1
4,16,424,1,25,1
4,16,481,1,28,1
4,16,517,1,46,1
5,16,10,1,1,1
5,16,45,1,1,2
5,16,52,1,1,3
5,16,52,1,7,1
5,16,53,1,43,1
5,16,82,1,17,1
5,16,83,1,50,1
5,16,108,1,10,1
5,16,163,1,39,1
5,16,184,1,21,1
5,16,424,1,28,1
5,16,481,1,32,1
5,16,517,1,54,1
6,16,10,1,1,6
6,16,17,1,36,1
6,16,45,1,1,7
6,16,52,1,1,8
6,16,52,1,7,1
6,16,53,1,47,1
6,16,82,1,17,1
6,16,83,1,56,1
6,16,108,1,1,9
6,16,108,1,10,1
6,16,163,1,41,1
6,16,184,1,21,1
6,16,257,1,1,2
6,16,257,1,71,1
6,16,337,1,1,3
6,16,394,1,1,1
6,16,394,1,77,1
6,16,403,1,1,5
6,16,421,1,1,4
6,16,424,1,28,1
6,16,481,1,32,1
6,16,517,1,62,1
7,16,33,1,1,1
7,16,39,1,4,1
7,16,44,1,16,1
7,16,55,1,7,1
7,16,56,1,40,1
7,16,110,1,10,1
7,16,130,1,31,1
7,16,145,1,13,1
7,16,182,1,22,1
7,16,229,1,19,1
7,16,240,1,37,1
7,16,334,1,34,1
7,16,352,1,25,1
7,16,401,1,28,1
8,16,33,1,1,1
8,16,39,1,1,2
8,16,39,1,4,1
8,16,44,1,16,1
8,16,55,1,1,3
8,16,55,1,7,1
8,16,56,1,48,1
8,16,110,1,10,1
8,16,130,1,36,1
8,16,145,1,13,1
8,16,182,1,24,1
8,16,229,1,20,1
8,16,240,1,44,1
8,16,334,1,40,1
8,16,352,1,28,1
8,16,401,1,32,1
9,16,33,1,1,2
9,16,39,1,1,3
9,16,39,1,4,1
9,16,44,1,16,1
9,16,55,1,1,4
9,16,55,1,7,1
9,16,56,1,60,1
9,16,110,1,1,5
9,16,110,1,10,1
9,16,130,1,39,1
9,16,145,1,13,1
9,16,182,1,24,1
9,16,229,1,20,1
9,16,240,1,53,1
9,16,334,1,46,1
9,16,352,1,28,1
9,16,401,1,32,1
9,16,430,1,1,1
10,16,33,1,1,1
10,16,81,1,1,2
10,16,450,1,15,1
11,16,106,1,1,1
11,16,106,1,7,1
12,16,16,1,16,1
12,16,18,1,22,1
12,16,48,1,18,1
12,16,60,1,24,1
12,16,77,1,12,1
12,16,78,1,12,2
12,16,79,1,12,3
12,16,93,1,1,1
12,16,93,1,10,1
12,16,219,1,36,1
12,16,318,1,28,1
12,16,366,1,30,1
12,16,405,1,42,1
12,16,445,1,40,1
12,16,476,1,34,1
12,16,483,1,46,1
13,16,40,1,1,1
13,16,81,1,1,2
